job_description,job_title,job_type,organization,sector,min_salary_annual,max_salary_annual,city,state
"DESIGN ENGINEER Ameron Pole Products, a manufacturer of Concrete Lighting Poles, has a Design Engineer position open at our Fillmore Manufacturing plant. Responsibilities include Prepare structural design calcs concrete mix designs for standard prestressed concrete products Prepare submittal drawings using AutoCAD Inventor mechanical desktop Enter Parts and BillS of Materials into Oracle MRP work with manufacturing to refine the product. BSCE or BSME with 15 years experience preferred. Must be willing to travel. Salary is DOE. We offer competitive benefits. Salary is dependent upon qualifications and experience. Background check and Drug screen is required. Please send resume to the address below, fax to 8055241537, email to TRVENPPDJobsnov.com or mail to Ameron Pole Products 1020 B Street, Fillmore, CA 93015 Attn ENG. MGR Equal Opportunity EmployerPosting provided by",DESIGN ENGINEER Job in,Full Time,Manufacturing - Other,Experienced (Non-Manager),,,CA 93015,Not Specified
"As the manager of copywriting on the Walden University marketing team, youll be an integral part of an inhouse creative team that produces a wide range of compelling, highquality digital contentincluding emails, Web copy, social media, ads, articles, presentations, infographics, and more. This person must be an adaptable selfstarter who is comfortable managing a team of writers as well as coordinating and collaborating with a variety of personnel at all levels of an organization in a fastpaced, rapidly evolving environment. Duties and ResponsibilitiesWrite highly effective, creative, and engaging marketing content and communications that will reinforce our brand, attract new students, retain existing students, and build stronger relationships with our alumni.Write for multiple B2B and B2C audiences within guidelines for brand, voice, and tone, employing best practices for each medium e.g., email, Web, print, mobile, social media.Responsible for management and development of SEO content, including optimization of keywords, managing freelancers, developing topic ideas, and collaborating with Web and brand teams.Oversee inhouse copywriter and a team of freelance writers, providing feedback and guidance on projects.Manage incoming assignments, partnering with traffic manager to assign projects and maintain schedules.Manage multiple projects with shifting priorities on tight deadlines.Collaborate closely with the design and editorial teams to create a cohesive product that is in brand.Serve as the expert on Walden voice and tone and maintain the brand voice and tone guide.Must be responsive to and able to provide constructive creative direction and work strategically, collaboratively, and productively with internal clients. Experience7 years as a professional copywriter, either in an agency or inhouse as part of a corporate creative or marketing department.At least 2 years of experience supervising team of internal and external copywriters in an agency or corporate marketing department.A comprehensive portfolio of creative and engaging writing samples across multiple channels, with a significant focus on digital marketing.Proven experience developing SEO content and expertise in SEO best practices and trends.Wellversed in content marketing best practices, specifically developing customized content targeted to unique personas and user journey stages.Ability to plan and manage copywriting priorities, with great attention to time management and meeting multiple deadlines within accelerated time frames.Keen attention to detail and accuracy required.Superb problemsolving, timemanagement, and organizational skills.Working knowledge of AP style.Working knowledge of the commenting, track changes, and markup tools of Microsoft Word and Adobe Acrobat Professional.Bachelors degree in English, communications, journalism, or related field.",Manager,Full Time,Advertising and PR Services,Not Specified,,,Baltimore,MD
"Position Title Arabic PersianFarsi Linguist Must Speak both languages Requisition GLS02170 Clearance Secret Location Bahrain Openings 4Purpose of the Position Linguists will support to U.S. Naval operations in Bahrain as Subject Matter Experts SMEs in their assigned area of responsibility, providing cultural perspective and understanding of the regions historical, political, sociological, and economic trends to select members of the senior leadership staff.Principal Responsibilities of the Position Provide operational contract linguist support for military operations and interpret during interviews, meeting, and conferencesInterpret and translate spoken communicationsTranscribe and analyze verbal communicationsPerform document exploitationScan, research, and analyze foreign language documents for key informationTranslate and review foreign language documents. Identify and extract information components meeting military information requirement list criteriaProvide input to reportsRequirements Must possess excellent command of Arabic Persian verbal skills Interagency Language Roundtable ILR proficiency level 3 in the target languages. Must also possess a proficiency level 2 in English based on oral and written language skills examinationMust be a U.S. citizen.Must hold a current U.S. passport. Or apply as soon as accepted into the program.Will be subject to a government security investigation and must possess or be able to obtain a Secret clearance for access to classified information.Must be willing to work in Bahrain.Must be willing to work shifts and extended hours in support of 24 x 7 operations.Must have familiarity with and ability to conduct oneself in accordance with the local culture and customs.Must undergo medical examinationGLS is an Equal OpportunityAffirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status.Apply Online Now",Arabic PersianFarsi Linguist Job in Herndon,Full Time,Government and Military,Not Specified,,,Herndon,VA
"Registered Nurse IMU Full Time Nights Kindred Hospital Medical Center Job Number 256495 Description ITS SIMPLE. You want to work in a healthcare setting where you are valued and appreciated where you receive respect from your superiors and coworkers as well as the patientsresidents you treat. You want to be challenged by your job without being overwhelmed by it. You want to play an instrumental role in helping a patient recover, sometimes against strong odds, and go home. What you want is Kindred Healthcare. Our mission is to promote healing, provide hope, preserve dignity and produce value for each patient, resident, family member, customer, employee and shareholder we serve. Join us Registered Nurse RN The Registered Nurse RN provides planning and delivery of direct and indirect patient care through the nursing process of Assessment, Planning, Intervention, and Evaluation. The Registered Nurse RN develops nursing care plan in coordination with patient, family, and interdisciplinary staff as necessary. The RN Registered Nurse will communicate changes in patients clinical condition with Physicians, Nursing SupervisorManager, and coworkers as appropriate. the Registered Nurse RN will also participate in discharge planning process. Registered Nurse RN CareerBuilder Key Words RN, R.N., Registered Nurse, Med Surg, Med Surge, Medical Surgical, MedicalSurgical, MedSurg, MedSurge, ICU, CC, CCU, Critical Care, telemetry, acute care, intensive care unit, postacute, emergency room, E.R., ER, step down, transitional care, nurse, nursing Qualifications Registered Nurse RN Requirements Education Graduation from an accredited Bachelors of Science in Nursing as Registered Nurse RN or Associate Degree in Nursing or Nursing Diploma program as a Registered Nurse RN. LicensesCertification Current state licensure as Registered Nurse RN. BCLS certification is required. ACLS preferred. Experience A Minimum six months as a Registered nurse RN with MedicalSurgical experience in an acute care setting preferred. If you are a current KindredRehabCare employee . Job RN Primary Location TXHoustonKindred HospitalHouston Med Ctr Organization 4685 Kindred HospitalHouston Med Ctr Shift Night",Registered Nurse IMU Full Time Nights Kindred Hospital Medical Center Job in Houston,Full Time,Healthcare Services,Medical/Health,,,Registered Nurse IMU Full Time Nights - Kindred Hospital Medical Center ( Job Number: 256495 ) Description IT'S SIMPLE. You want to work in a healthcare setting where you are valued and appreciated - where you receive respect from your superiors and co-workers as well as the patients/residents you treat. You want to be challenged by your job without being overwhelmed by it.  You want to play an instrumental role in helping a patient recover,Not Specified
"Provide proposal development support for PWs Military Engine Sustainment programs supporting F117 contracts. Activities include interfacing with the Program Office team to evaluate requests for proposals, determining requirements, developing execution details and writing of technical volumes and pricing volumes. Other key activities involve working with our commercial counterparts to compile and analyze price reasonability data to support the proposal pricing. Ability to work with teams of different functional and technical background is essential. A knowledge of FAR 15 and FAR 12 contracting is helpful. Bachelors degree in business, accounting, finance are acceptable if the individual can demonstrate a history of the skills noted above.MS Office, Government Contracting proposal writing, SubcontractingSubcontract Management, strong interpersonal skills, conflict resolution skills, ProjectProgram ManagementCDI Corporation is an EEOAn Affirmative Action MFDV Employer.",Contract Specialist Job in East Hartford,Full Time,Aerospace and DefenseGovernment and Military,Editorial/Writing,,,East Hartford,CT
"System One is currently seeking a Designer II on a 24 month contract position located in Amarillo, TX. ResponsibilitiesCreates, updates and revises sketches, working drawings and contract documents using Computer Assisted Design CAD software or manual means of drafting to meet customer requirements.Prepares 2D and 3D models.Assignments will be completed utilizing information provided by project engineering, architectural, or technical services staff under the direction of a supervisor.Prepares documentation to support design drawings.Prepare bills of material, schedules, and assist engineering personnel with formal drawing transmittals and construction issues. RequirementsMust be able to present samples of both 2D line work and drawings created from 3D models.Minimum of two 2years of CADMicroStation V8 is preferredPreference will be given to applicants who have experience in transmission line design, PLSCADD, ProjectWise and ArcMap or GIS.Must be able to read and comprehend detailed customer requirements, data sheets and supplier specifications.Requires familiarity with drafting techniques and engineering concepts and terminology.Ability to read engineering drawing and blueprints. Duration 24 monthsLocation Amarillo, TXRate 2733hr",Designer II Job in Amarillo,Not Specified,Not Specified,Not Specified,,,System One is currently seeking a Designer II on a 24 month contract position located in Amarillo,Not Specified
"Dranetz is one of the leading equipment manufacturers of intelligent monitoring solutions for electrical demand, as well as energy and power quality. Dranetz is looking for a Drafting Documentation Coordinator who is experienced in the field of electronics. This position is responsible to performcoordinate the product documentation during the development, as well as during the full product life cycle. This position will be based at our headquarters in Edison, New Jersey. Responsibilities Work directly with engineers, from concept to final design, and communicate potential design issues back to engineering. Provide full documentation such as BOMs, assembly drawings, artwork, etc. in support of product changes and releases. Generate Gerber files for manufacturing release of PCBs, assemblies, and other changes. Responsible for data entry into the appropriate databases for PCBs, BOMs, firmware, ECOs, etc. Determine mechanical dimensioning and tolerances of product enclosures, sheet metal parts and assemblies. Interface with vendors on obtaining quotes for PCBs, artwork, etc. and then confirm accuracy of first article samples. Utilize Photoshop to layout graphics for panel markings, labels and product overlays. Verify drawings for accuracy and completeness before releasing to manufacturing. Manage and maintain AutoCAD system. Ensure timely completion and routing of ECOs.Qualifications Two year technical degree, Associate in Mechanical Drafting or equivalent. 5 to 10 years drafting experience. Proficiency in AutoCAD. Electromechanical aptitude. Knowledge of PCBs is a plus. Strong attention to detail. Please submit your resume in confidence, as well as salary history to employmentDranetz.com EOE MFDV",Drafting Documentation Coordinator Job in Edison,Full Time,Manufacturing - Other,Experienced (Non-Manager),,,Edison,NJ 08817
"Would you like to grow your tax career with a public accounting firm with a very unique culture in downtown Denver We have an exciting job opportunity in Denver, CO for a Senior Tax Manager or Junior Partner. You will have the opportunity to learn from a couple of strong partners with large public accounting and a track record of business development. You will be responsible for review of high net worth and corporate tax returns. In addition, you will have a fast track to be in line for Partner with the right attitude and business development skills. To be considered for this position you must hold a Bachelors in Accounting, CPA, and have at least ten years in public accounting. Great opportunity for relocation Please email your resume directly to matthew.digginsparkerlynch.com As a Senior Tax Manager your responsibilities will include Review and at times preparation of tax returns for individuals, SCorps, partnerships, CCorps, trusts estates and other entities.Assist in tax planning, research and consulting for clients.Address complex tax issues.Practice development.Assure compliance with state and federal tax laws and regulations. Your qualifications Bachelors degree in Accounting andor MSTAt least 10 years in public accountingCPA preferredStrong skills in MS office If you have a passion for growing your career and skill set we would love for you to be a part of our clients team in Denver, CO.",Senior Tax Manager Job in Denver,Full Time,Not Specified,Accounting/Finance/Insurance,100000.0,150000.0,Denver,CO 80202
"Mechanical Design Engineer Advance Aircraft Programs CabinCompletions Design.Guides successful completion of major engineering programs, or conceives research in areas of considerable scope and complexity supporting the development and production of products and services.Primarily involve engineering design of new and derivative versions of interior furnishings and amenities as part of outfitting new aircraft.Examples include cabinetry such as galleys, lavatories, closets, storage compartments, interior peripheries, waterwaste systems, entertainment equipment installations, and seating installations.Design installations for aforementioned commodities along with necessary airframe modifications to meet load requirements of the interior installationEngineering design work includes the creation of drawingsmodels using either AutoCAD or CATIA V5Employ design standards consistent with company standards and accepted design methodsRequired to liaison with the shop on engineering issues Design assignments are executed under the direction of the Mechanical Engineering Lead and Group Head to meet the manufacturing schedule.Additional responsibilities are out lined in the job description and as assigned by the Mechanical Engineering Lead or Group Head.Essential Functions1. Selects appropriate methods, techniques, and evaluation criteria to resolve complex engineering issues2. Is consulted extensively by associates and others as a recognized authority within the field3. Anticipates and resolves complex issues in creative and effective ways, developing standards and guides for diverse engineering activities4. Approach to problem solving balances technical product, cost and schedule5. Works without appreciable direction work is reviewed from a longrange perspective for desired results6. Exercises latitude in determining technical objectives of assignments, and makes decisions and recommendations that are recognized as authoritativeAdditional Functions1. Maintains a current knowledge of developments in the field of specialty andor other related aircraft fields in order to recommend innovations to improve quality and effectiveness of company product2. Performs other duties as assignedOther Requirements1. Advanced degree in engineering, or related curriculum preferred2. The level of technical skill and abilities appropriate for this grade will be established by each disciplineEducation and Experience RequirementsBachelors degree in engineering, a related curriculum, or equivalent combination of education and experience sufficient to successfully perform the essential functions of the job.See Other Requirements in Job Description10 yrs in specific technical discipline or 15 yrs broad engineering experience in several technical disciplines with Bachelors.Experience credit considered for related advanced degrees limited to 2 yrs for Masters and 4 yrs for PhD in fields applicable to this job.To apply Click on the Apply button on this page, or email your resume to Click Here to Email Your Resume. In the subject line, enter the job number and job title of the position to which you would like to be considered.Our Recruiter will initiate a phone call to you and give you immediate consideration should your resume meet the job requirements. Please rest assured that if your resume matches what is reflected in this job posting, you should receive a phone call from a Volt Recruiter to discuss this position with you.Volt has over 60 years of staffing experience. We work with many of the Fortune 500 and 1000 companies to provide workforce solutions. We offer many direct hire fulltime positions as well as many contingenttemporary positions. We offer our Workers competitive pay and benefits, as well as educational programs and redeployment assistance.Volt is a publicly owned Corporation with shares trading on the overthecounter market httpwww.otcmarkets.com under the trading symbol VISI. To learn more about Volt, please visit httpwww.volt.com and to see more of our job postings, please visit httpjobs.volt.com Volt is an Equal Opportunity Employer.",Mechanical Engineer AAP CabinsTS II Job in Savannah,Full Time,Not Specified,General/Other: Engineering,,,Savannah,GA
"Amazon Web Services AWS is looking for a Solutions Architect to build successful technical partnerships with our top software partners. This is a highly technical position for someone who can dive deep, build cloudoptimized architectures, develop a strategy with AWS business development teams, and influence our product roadmap by working closely with AWS engineering teams.The ideal candidate is as comfortable whiteboarding complex software architectures with a roomful of engineers as they are briefing an executive audience. You will get the opportunity to work with a wide array of top AWS partners, from wellestablished tech giants to the next big things that were born in the cloud. You will also have the opportunity to write whitepapers, deliver technical webinars, speak at events and file patents for what could potentially be a future AWS product or feature.Candidates should have experience working with enterprise customers or in global alliances organizations. Previous AWS experience is preferred but not required. Strong public speaking and writing skills are required.Amazon is an Equal Opportunity Affirmative Action Employer MinorityFemaleDisabilityVetawspartnersnaLIJM5 Enterprise customerfacing experience 10 years of highly technical and analytical IT experience Demonstrated ability to think strategically about business, product, and technical challenges An advanced degree in computer science, engineering or mathematics is preferred",Strategic Partners Solutions Architect Job in San Francisco,Not Specified,Not Specified,Engineering,,,San Francisco,CA
"TitleConsumer UnderwriterCityHoustonStateTXJob DescriptionThe Consumer Underwriter is responsible for analyzing applicants financial status, credit, and property evaluations to determine feasibility of granting loans. The consumer underwriter examines prospective loan requests for previous credit history and current financial obligations. In addition, the underwriter qualifies, approves, denies, or counteroffers loans within assigned limits and company policy and refers those decisions beyond their credit limit to the appropriate level of management, recommending approval or rejection and justifying that decision. May also assist in responding to credit bureau disputes and updating information to consumer reporting agencies. The Consumer Underwriter will also be involved in the education and skill building of lending staff with regard to loan structuring, pricing and other facets of the loan process.Requirements Minimum 2 years credit union or bank consumer lending experience in origination, loan structuring and negotiation. Prior consumer lending approval authority preferred. Must have a strong working knowledge of all consumer regulations, including Regulations B and Z, FCRA and Uniform Commercial Code. Strong analytical and decisionmaking skills Effectively and accurately utilize Microsoft Word, Microsoft Excel, internet, email, and other proprietary software. Excellent verbal and written communication skills Strong attention to detail Please submit a resume in order to be considered for the position.Smart Financial Credit Union in an Equal Opportunity Employer.",Consumer Underwriter Job in Houston,Full Time,Banking,Banking/Real Estate/Mortgage Professionals,,,Houston,TX 77072
"The Amazon Seller Mobile Application team is looking for an experienced business intelligence analyst to join our team in Santa Cruz and help us fulfill our evergrowing information needs and support analysis of increasingly complex business questions.We are looking for a brilliant, creative, and passionate AnalyticsBusiness Intelligence professional to lead our mobile insight analytics efforts. We are looking for someone who will deepen our understanding of mobile Marketplace Seller behavior, including measurement of immediate actions as well as longitudinal measurement and analysis of longerterm behavior change. A key responsibility of this role is to understand how Sellers are using mobile and desktop Marketplace services and identify trigger points to help drive the right marketing and build the right features. You will leverage large amounts of data to quickly target Sellers, uncover campaign results and analyze business performance metrics that can make a meaningful difference in how we improve our mobile Sellers experience.A successful candidate will be uncompromisingly detail oriented, efficient, and customer obsessed. Your work must be accurate, timely, and insightful. You must be a selfstarter who is able to work in a fastpaced and everchanging environment. You will build sustainable and scalable processes, documentation and reporting that can be leveraged across Mobile Marketplace. You will be responsible to Identify, develop and execute data analysis to uncover areas of business opportunity. Present written recommendations and insights to key stakeholders that will help shape strategies that deliver results. Design and execute analyses and data mining by utilizing available analysis tools, interpret the results and develop recommendations and actionable steps based on the learning. Shaping and informing key metrics and indicators by which the Seller Mobile management team will assess its performance. Learn and understand a broad range of Amazons data resources and know how, when and which data sources to use. Deep dive into massive data sets to answer key business questions using MS Excel, Oracle SQL and other data manipulation languages. Manage and execute entire projects or components of large projects from start to finish including project management, data gathering and manipulation, synthesis and modeling and problem solving. 3 years of analyticsbusiness intelligence experience is required Bachelors or Masters degree in Business, Engineering, Statistics, Computer Science, Mathematics or related field. Advanced skills using SQL, ETL and databases in a business environment with largescale, complex datasets query tuning, data modeling Ability to communicate clearly and concisely with technical and nontechnical teams across multiple businesses written, verbal, presentation, and interpersonal skills Demonstrated analytical and quantitative skills to use hard data and metrics to back up assumptions Works effectively as an individual and part of a team Strategic thinker with the ability to seeunderstand the big picture Strong attention to detail and excellent problem solving skills Proven analytical and quantitative skills including ability to effectively use tools such as Excel and Access and an ability to use data and metrics to back up assumptions, develop business cases, and complete root cause analyses. Relevant experience in data analysis, research, experimentation, business intelligence and data warehousing tools, or comparable consumer analytics solutions. Ability to meet tight deadlines and prioritize workloads in a fast paced environment Ability to develop new ideas and creative solutions. 3 years experience with mobile technologies and productsproduct development Experience working in a cross functional team Demonstrated ability to identify and solve ambiguous problems. Demonstrated high degree of organization and ability to manage multiple, competing priorities. Strong verbal and written communication data presentation skills, including an ability to effectively communicate with both business and technical teams. Strong program or project management experience Understanding ETL Manager, Data Warehouse, Redshift. Has experience with data presentation to tell a story.Amazon is an equal opportunity employer.",Business Analyst Job in Santa Cruz,Not Specified,Not Specified,Engineering,,,Santa Cruz,CA
"back Learn More McLarenFilenet Developer Job 654941Contact Chris Barrycbarryapexsystemsinc.com Title McClarenFileNet DeveloperLocation Houston, TXDuration 3 month contracttohire Essential Job DutiesResponsible for the implementation, development, configuration, support and troubleshooting of Document Management Systems at Oxy and ownership of the McLaren application. These duties include the installation and configuration of the McLaren system, including Enterprise Server, Viewing Server, Automation Server, and Transmittal Portal and modifying the McLaren Content Loader using C. This person will be also be responsible for the configuration of FileNet P8, migration of documents from one system to another, using custom tools and verifying document security. Development and support of other offtheshelf and custom developed document management solutions will be required as needed.Duties also include modeling business processes, gathering requirements from customers and facilitating end user testing and acceptance.Assist in setting strategy to modernize document management within the company and in our interactions with external partners and vendors.Participate in special projects as required.LIYN1 Required QualificationsBachelors of Science in Computer Science, Computer Engineering or similar degree5 Years of experience with document management systems.5 Years of Oil and Gas industry experienceWorking knowledge of McLaren and FileNet P8 or similar Document Management SystemTechnical skills including C, Java, .NET, SQLExperience in Relational Databases SQL ServerGood customer service skills and ability to work independently and in a team environmentExceptional analytical, conceptual, and problemsolving abilitiesExcellent customer service skillsSelfmotivated and directed, with ability to prioritize and execute tasks effectivelyExcellent oral and written communication skills. Ability to effectively communicate and present to all levels of business users and managementExperienced full software development life cycle in controlled and standardized environmentsExperience in working with project teams with Project Managers, Business Analysts and other developers.Additional Desired SkillsExperience in designing and implementing a Kofax application setting up batch classesSetup Kofax batch classesFamiliar with creating reports in SSRS or similar platform EEO EmployerApex Systems LLC, a division of On Assignment, is an IT staffing and services firm specializing in providing IT professionals for contract, contracttohire, and direct placements. Apex also offers recruitment solutions for other select professional skills and workforce needs. On Assignment divisions include Oxford Global Resources IT and Engineering, CyberCoders, Valesta Clinical Research Solutions, and Lab Support US, UK, The Netherlands and Belgium.Apex Systems LLC is an Equal Employment OpportunityAffirmative Action Employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, sexual orientation, gender identity, and other protected characteristics. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservicesapexsystemsinc.com or 8666122739.Learn More",McLarenFilenet Developer Job in Houston,Full Time,Computer/IT Services,Experienced (Non-Manager),,,« back Learn More McLaren/Filenet Developer Job #:  654941Contact: Chris Barrycbarry@apexsystemsinc.com Title: McClaren/FileNet DeveloperLocation: Houston,Not Specified
"IBTS, a complete solutions provider, is a nonprofit organization established to provide unbiased professional services directly to, or on behalf of government, state, and local agencies. Some of the services include Building Department Services Building Code Inspections and Plan Review Quality Assurance Audits Compliance Risk Monitoring Disaster Response and Recovery, and a host of others. IBTS takes pride in their proven ability to customize project deliverables to specific customer needs and expectations. As a result of delivering quality services and developing into a trusted advisor, IBTS successfully procured a longstanding contract with the Department of Housing and Urban Development HUD. The contract entails monitoring thirdparty agencies that approve designs and oversee inspections of factorybuilt residential structures. IBTS looks to add to their current team of architects, engineers, auditors, professionals, and industry related experts performing this work. IBTS is currently in search for a Project Engineer CivilStructural or a Project Architect to join their growing Ashburn, VA team. The new hire will be surrounded by a supporting cast to assist with hisher development because IBTS believes that the success of an employee will ultimately enhance the professional services delivered to our client. DUTIES AND RESPONSIBILITIES The Project Engineer CivilStructural or Project Architect will be responsible for completing structural technical analyses and regulatory assessments necessary to evaluate the performance of accepted thirdparty design approval agencies under the Federal Manufactured Housing Program. The candidate would also be responsible for completing other services and special activities as may be assigned by IBTS management that are commensurate to the engineersarchitects education, background, and experience such as analyzing other disciplines and systems of a residential structure. In fulfilling hisher functional responsibilities, the Project Engineer or Project Architect must strive to work in the most efficient, costeffective, accurate, and professional manner possible. PREFERRED EXPERIENCE Building codes and regulations Code compliance inspections Quality assurance auditing Regulatory performance reviews Building construction operations Woodframed structural design Residential housing design reviews Independent structural assessments based on acceptable architecturalengineering practices Excellent communication skills and technical writing ability EDUCATION Bachelors Degree in Civil Engineering, with a focus on structures, required. Bachelors Degree in Architecture, with a background in housingstructures, required. Certified design professional desired i.e., Professional Engineer or Registered Architect licensee Relocation assistance is available. DivisionDepartment Corp. VA",Structural Engineer Job in Ashburn,Full Time,Architectural and Design Services,Experienced (Non-Manager),,,Ashburn,VA 20147
"We are seeking an experienced, high caliber Desktop Publishing Specialist to produce printed and online labeling for products. Each employee can make a difference at St. Jude Medical and has the power, either individually or as a team, to influence the success of the company. We are teamoriented, fastpaced and progressive. We value people with great ideas who partner with others both internally and externally to take action and accomplish goals. Impact this role will have on St. Jude Medical Collaborates with technical publications personnel in developing, implementing, and revising document design templates Produces artwork and output for printed materials using various computerbased desktop publishing programs in compliance with requirements Converts electronic files from DTP applications to PDF andor HTML Pageproofs English and translated manuals to ensure that the formatting is correct and that the content of translations matches the source document Scans, converts, and edits vector and bitmap images using standard graphic and imageediting applications Maintains electronic and hardcopy files of projects generated within the department in compliance with GMP requirements Complies with U.S. Food and Drug Administration FDA regulations, other regulatory requirements, Company policies, operating procedures, processes, and task assignments. Maintains positive and cooperative communications and collaboration with all levels of employees, customers, contractors, and vendors Your experiences, education and knowledge will further expand St. Jude Medicals marketplace success High school diploma or other specialized trainingequivalent related experience Typically a minimum of 12 years of demonstrated experience in multiplatform computer publishing, the ability to quickly learn new application software, expert competence in English spelling, grammar, and punctuation Your preferred qualifications and education Performs other related duties and responsibilities, on occasion, as assigned Expert keyboard and organizational skills, attention to detail, ability to work with minimal supervision, and handle multiple projects simultaneously Comprehensive communication skills, both oral and written Must possess advanced personal computer skills, including thorough experience with Microsoft Office together with Excel and Word, FrameMaker, Illustrator, Photoshop, Quark Xpress, InDesign, or equivalent applications Must be able to maintain regular and predictable attendance Possesses a broad working knowledge of company products and the FDA and international requirements for manual publicationLIDNP Additional InformationTravel Percentage 10",Desktop Publishing Specialist Job in Plano,Full Time,Not Specified,Editorial/Writing,,,Plano,TX 75023
"Job SummaryBDOs Core Purpose is Helping People Thrive Every Day. Our Core Values reflect how we manage our work, our relationships and ourselves. As an employee of the firm, you will live true to our Core Values of people first, being exceptional every day in every way, embracing change, feeling empowered through knowledge and choosing accountability. Our Core Values are the standards by which we conduct ourselves day in and day out, both internally and externally.A Core Tax Services Senior Associate is responsible for utilizing research skills, applying tax foundational knowledge to understand potential tax issues, gathering client information necessary for filing, participating in tax planning, recognizing and communicating potential risks, preparing tax accrual workpapers and working with tax software applications to complete tax returns for review. In this role, the Core Tax Services Senior Associate may be charged with supervising and reviewing the work of Core Tax Services Associates.QualificationsEducation Bachelors degree in Accounting or other relevant field required Masters degree in Accounting beneficial, masters degree in taxation preferredExperience Two 2 to three 3 years of prior experience Experience with corporate taxation, consolidations, and partnerships preferred Prior basic supervisory experience preferred Prior experience preparing and reviewing of tax provisions preferredLicenseCertifications Passed CPA Exam preferredSoftware Experience with Microsoft Office Tools Excel, PowerPoint, Word, and Outlook, and Adobe Acrobat Experience with tax research databases such as BNA and RIA Proficient in all tax compliance process software including GoFileRoom, GoSystemRS, Caseware, BNA Depreciation Software, or comparable programs and standard tax workpapersOther Knowledge, Skills Abilities Solid verbal and written communication skills Able to follow instructions as directed by members of Tax Team Able to prepare simple tax returns Takes appropriate actions without being asked Seeks advice of appropriate superiors regarding issues, problems related to compliance Ability to effectively delegate work as needed Trains other team members Strong analytical, research and critical thinking skills Able to work well in a team environmentMONMSJA",Tax Senior Job in Houston,Full Time,Accounting and Auditing Services,Accounting/Finance/Insurance,,,Houston,TX
"The Packaging Engineer works with the Packaging Innovation PM and Packaging Engineering teams to create a pipeline of impactful packaging related concepts, technologies, processes, methodologies, materials and supporting data. The work engages every organization that utilizes device packaging before and following packout including RD, OPS and manufacturing, logistics, distribution, sales and customers. A critical aspect of the position is the ability to identify value added opportunities, creatively recognize potential solutions, vet the ideas across the stakeholders and takes a hands on approach to prototyping and validation. The perfect candidate enjoys working analytically and creatively. Required Creative thinker and inventor with strong spatial skills Handson builderprototypermodelerEffective working across functional and organizational groups including vendors and customers Enjoys interfacing with the field staff and customers.Advanced SolidWorks experience including the ability to design using surface features, assemblies and motion simulationanimation. Experience using structural and thermal FEA a plus.Experience with DOE design, execution and analysis. Knowledge of packaging validation a plus.Enjoys building relationships with field colleagues and customers.Helps identify and characterize quality, cost and functional business opportunities.Desired Familiar with manufacturing processes including injection molding, blow molding, thermoforming, packaging material conversion, printing and nonmetallic fastening techniquesStrong understanding and ability to design in Solidworks is strongly preferred but other 3D CAD packages will be consideredUnderstands of industrial design processesBasic use of Photoshop and IllustratorBasic financial modeling and ROI knowledgeParticipation in sourcing and vendor qualificationExperis is an Equal Opportunity Employer EOEAA",Packaging Engineer Job in Chicago,Full Time,"Chicago, IL 60661",Engineering,69000.0,101000.0,Packaging Engineer,Not Specified
"St. Joseph Medical Center in The Heights opened as an extension of Houstons first hospital St. Joseph Medical Center in downtown Houston. Linked to the services and physicians of the main campus, St. Joseph Medical Center in The Heights was opened to serve the growing communities that had for too long been without healthcare at home. Campus is located at 1917 Ashland, Houston 77008.JOB SUMMARYIn collaboration with Nursing Leadership, the Shift Supervisor oversees the operations of Patient Care Services evenings, nights, and weekends. Visits all the patient care units daily to evaluate patient care issues and assists Resource NurseClinical Nurse with patient care and managerial issues. Facilitates the resolution of customer service issues and inter and intradepartmental problems concerning utilization of supplies and equipment. Authorized to act in the absence of the Chief Nursing Officer, during duty hours evenings, nights, weekends, and holidays. The House Supervisor on duty administers the disaster plan until relieved by the Administrator on Call or designated member of the Hospital Administration. Participates in Performance Improvement teams, projects or committees as directed. Manages bed placement.Services available at The HeightsEmergency Department 7 beds Imaging Lab PharmacyInpatient Care 48 beds 4 Operating Rooms 1 Endoscopy SuiteOutpatient Care Diagnostic Radiology Outpatient Surgery Special Procedures Room MINIMUM KNOWLEDGE, SKILLS AND ABILITIES REQUIREDWork ExperienceTwo or more years of clinical nursing experience in an acute care facility during which managerial and teaching abilities have been demonstrated.LicenseRegistrationCertification Current RN licensure issued by the Board of Nurse Examiners of the State of Texas. Current BCLSHCP certification.Education Training Graduate of an accredited school of nursing. Bachelors Degree in Nursing preferred. Management courses are preferred.Skills Strong interpersonal skills in order to effectively communicate with physicians, health team members, patients and families. Computer skills word processing electronic mail Able to communicate effectively in writing. EQUAL OPPORTUNITY EMPLOYER MINORITIES WOMEN VETERANS DISABLED Additional Information",RN House Supervisor FT,Full Time,Not Specified,Experienced (Non-Manager),,,Houston,TX 77001
"TrackingJobBody table, TrackingJobBody a display none",Field Supervisor IS Job in Deer Park,Full Time,Other/Not Classified,Other,,,Deer Park,TX
